Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
156976346,L'Immortale,Catherynne M. Valente,"Valente, Catherynne M.",,"=""""","=""""",0,3.97,Fazi Editore,Kindle Edition,346,2023,2011,,2023/08/19,to-read,to-read (#479),to-read,,,,0,0
58690308,Book Lovers,Emily Henry,"Henry, Emily",,"=""""","=""""",0,4.17,Berkley,Hardcover,377,2022,2022,,2023/04/18,currently-reading,currently-reading (#4),currently-reading,,,,1,0
66087070,Suddenly a Murder,Lauren Muñoz,"Muñoz, Lauren",,"=""0593617533""","=""9780593617533""",0,3.96,G.P. Putnam's Sons Books for Young Readers,Hardcover,320,2023,2023,,2023/08/19,to-read,to-read (#478),to-read,,,,0,0
157062582,"The Mystery Guest (Molly the Maid, #2)",Nita Prose,"Prose, Nita",,"=""0593356187""","=""9780593356180""",0,4.11,Ballantine Books,Hardcover,304,2023,2023,,2023/08/19,to-read,to-read (#477),to-read,,,,0,0
75293475,"The Last Devil to Die (Thursday Murder Club, #4)",Richard Osman,"Osman, Richard",,"=""0593299426""","=""9780593299425""",0,4.50,Pamela Dorman Books,Hardcover,368,2023,2023,,2023/08/19,to-read,to-read (#476),to-read,,,,0,0
75495002,Happiness Falls,Angie  Kim,"Kim, Angie",,"=""0593448200""","=""9780593448205""",0,4.03,Hogarth,Hardcover,400,2023,2023,,2023/08/19,to-read,to-read (#475),to-read,,,,0,0
123414019,Family Meal,Bryan Washington,"Washington, Bryan",,"=""0593421094""","=""9780593421093""",0,4.36,Riverhead Books,Hardcover,320,2023,2023,,2023/08/19,to-read,to-read (#474),to-read,,,,0,0
65213393,"Act Like a Lady, Think Like a Lord: A Mystery (Lady Petra Inquires)",Celeste Connally,"Connally, Celeste",,"=""125086755X""","=""9781250867551""",0,3.74,Minotaur Books,Hardcover,304,2023,2023,,2023/08/19,to-read,to-read (#473),to-read,,,,0,0
78296909,The Leftover Woman,Jean Kwok,"Kwok, Jean",,"=""0063031469""","=""9780063031463""",0,4.29,William Morrow,Hardcover,288,2023,2023,,2023/08/19,to-read,to-read (#472),to-read,,,,0,0
65646968,Mother-Daughter Murder Night,Nina Simon,"Simon, Nina",,"=""0063315041""","=""9780063315044""",0,4.02,William Morrow,Hardcover,368,2023,2023,,2023/08/19,to-read,to-read (#471),to-read,,,,0,0
63241097,Murder in the Family,Cara Hunter,"Hunter, Cara",,"=""0063272075""","=""9780063272071""",0,4.06,William Morrow Paperbacks,Paperback,480,2023,2023,,2023/08/19,to-read,to-read (#470),to-read,,,,0,0
62226126,"The Last Devil to Die (Thursday Murder Club, #4)",Richard Osman,"Osman, Richard",,"=""0241512441""","=""9780241512449""",0,4.50,Viking,Hardcover,400,2023,2023,,2023/08/19,to-read,to-read (#469),to-read,,,,0,0
123423832,The Coworker,Freida McFadden,"McFadden, Freida",,"=""172829620X""","=""9781728296203""",0,4.11,Poisoned Pen Press,Paperback,368,2023,2023,,2023/08/19,to-read,to-read (#468),to-read,,,,0,0
